path,role,purpose,top_level_symbols,contains_fixed_paths,original_path
legacy/BGT60TR13C/IMU_txt2csv.py,imu_preprocessing_variant,Vendor export conversion or trial alignment variant; choose based on recording format,,True,BGT60TR13C/IMU_txt2csv.py
legacy/BGT60TR13C/IMU_txt2csv_junh.py,imu_preprocessing_variant,Vendor export conversion or trial alignment variant; choose based on recording format,,True,BGT60TR13C/IMU_txt2csv_junh.py
legacy/BGT60TR13C/IMU_txt_junh.py,imu_preprocessing_variant,Vendor export conversion or trial alignment variant; choose based on recording format,,True,BGT60TR13C/IMU_txt_junh.py
legacy/BGT60TR13C/helpers/DigitalBeamForming.py,third_party_helper,Supplied Infineon example helper; retain header and import context,DigitalBeamForming,False,BGT60TR13C/helpers/DigitalBeamForming.py
legacy/BGT60TR13C/helpers/DistanceAlgo.py,third_party_helper,Supplied Infineon example helper; retain header and import context,DistanceAlgo,False,BGT60TR13C/helpers/DistanceAlgo.py
legacy/BGT60TR13C/helpers/DopplerAlgo.py,third_party_helper,Supplied Infineon example helper; retain header and import context,DopplerAlgo,False,BGT60TR13C/helpers/DopplerAlgo.py
legacy/BGT60TR13C/helpers/fft_spectrum.py,third_party_helper,Supplied Infineon example helper; retain header and import context,fft_spectrum,False,BGT60TR13C/helpers/fft_spectrum.py
legacy/BGT60TR13C/interpolation/data_interporation_image_filter.py,exploratory_variant,Archived interpolation/image/EKF experiment; not automatically selected by training manifests,get_sensor_velocity_from_gyro; get_unit_vector_from_angles; apply_doppler_correction; group_radar_files; load_radar_and_imu_data; trim_imu_data; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; wrap_angle; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; save_2d_array_as_image; main,True,BGT60TR13C/interpolation/data_interporation_image_filter.py
legacy/BGT60TR13C/interpolation/data_interportatiion_EKF_test.py,exploratory_variant,Archived interpolation/image/EKF experiment; not automatically selected by training manifests,get_sensor_velocity_from_gyro; get_unit_vector_from_angles; apply_doppler_correction; group_radar_files; load_radar_and_imu_data; trim_imu_data; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; wrap_angle; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; EKFRangeDoppAngle8D; save_2d_array_as_image; test_main,True,BGT60TR13C/interpolation/data_interportatiion_EKF_test.py
legacy/BGT60TR13C/interpolation/data_interportation_EKF_frame.py,exploratory_variant,Archived interpolation/image/EKF experiment; not automatically selected by training manifests,get_sensor_velocity_from_gyro; get_unit_vector_from_angles; apply_doppler_correction; group_radar_files; load_radar_and_imu_data; trim_imu_data; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; wrap_angle; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; EKFRangeDoppAngle8D; save_ekf_states_as_csv; main,True,BGT60TR13C/interpolation/data_interportation_EKF_frame.py
legacy/BGT60TR13C/interpolation/data_interportation_EKF_test.py,exploratory_variant,Archived interpolation/image/EKF experiment; not automatically selected by training manifests,get_sensor_velocity_from_gyro; get_unit_vector_from_angles; apply_doppler_correction; group_radar_files; load_radar_and_imu_data; trim_imu_data; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; wrap_angle; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; EKFRangeDoppAngle8D; save_2d_array_as_image; save_ekf_states_as_csv; test_main,True,BGT60TR13C/interpolation/data_interportation_EKF_test.py
legacy/BGT60TR13C/interpolation/data_interportation_frame.py,exploratory_variant,Archived interpolation/image/EKF experiment; not automatically selected by training manifests,get_sensor_velocity_from_gyro; get_unit_vector_from_angles; apply_doppler_correction; group_radar_files; load_radar_and_imu_data; trim_imu_data; rebin_with_conversion; angle_to_bin; range_to_bin; doppler_to_bin; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; save_2d_array_as_image; angle_to_bin; range_to_bin; doppler_to_bin; rebin_with_conversion; bin_to_angle; bin_to_range; bin_to_doppler; main,True,BGT60TR13C/interpolation/data_interportation_frame.py
legacy/BGT60TR13C/interpolation/data_interportation_image.py,exploratory_variant,Archived interpolation/image/EKF experiment; not automatically selected by training manifests,get_sensor_velocity_from_gyro; get_unit_vector_from_angles; apply_doppler_correction; group_radar_files; load_radar_and_imu_data; trim_imu_data; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; wrap_angle; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; save_2d_array_as_image; main,True,BGT60TR13C/interpolation/data_interportation_image.py
legacy/BGT60TR13C/interpolation/data_interportation_test.py,exploratory_variant,Archived interpolation/image/EKF experiment; not automatically selected by training manifests,get_sensor_velocity_from_gyro; get_unit_vector_from_angles; apply_doppler_correction; group_radar_files; load_radar_and_imu_data; trim_imu_data; quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; wrap_angle; correct_range; correct_doppler; correct_horizontal_angle; correct_vertical_angle; correct_single_bin; apply_geometric_correction; save_2d_array_as_image; test_main,True,BGT60TR13C/interpolation/data_interportation_test.py
legacy/BGT60TR13C/raw_to_RDA.py,descriptor_candidate,Numeric raw CSV to four scalar radar descriptors using helpers,load_csv_files; process_radar_data; save_processed_data,True,BGT60TR13C/raw_to_RDA.py
legacy/BGT60TR13C/raw_to_RDAimage_CFAR.py,exploratory_representation,"Archived radar image/STFT representation branch, distinct from scalar descriptor training",EKFRangeDoppAngle8D; cfar_2d_ca; cluster_2d; get_centroid_2d; load_csv_files; process_radar_data_with_cfar_clustering_ekf; save_processed_data,True,BGT60TR13C/raw_to_RDAimage_CFAR.py
legacy/BGT60TR13C/raw_to_RDAimage_frame_norn_csv.py,exploratory_representation,"Archived radar image/STFT representation branch, distinct from scalar descriptor training",load_csv_files; process_radar_data; save_processed_data_as_csv,True,BGT60TR13C/raw_to_RDAimage_frame_norn_csv.py
legacy/BGT60TR13C/raw_to_RDAimage_image_norm.py,exploratory_representation,"Archived radar image/STFT representation branch, distinct from scalar descriptor training",load_csv_files; process_radar_data; save_processed_data,True,BGT60TR13C/raw_to_RDAimage_image_norm.py
legacy/BGT60TR13C/raw_to_RDAimage_image_norn_csv.py,exploratory_representation,"Archived radar image/STFT representation branch, distinct from scalar descriptor training",load_csv_files; process_radar_data; save_processed_data_as_csv,True,BGT60TR13C/raw_to_RDAimage_image_norn_csv.py
legacy/BGT60TR13C/raw_to_RDAimages_frame_norm.py,exploratory_representation,"Archived radar image/STFT representation branch, distinct from scalar descriptor training",load_csv_files; process_radar_data; save_processed_data,True,BGT60TR13C/raw_to_RDAimages_frame_norm.py
legacy/BGT60TR13C/raw_to_STFT.py,exploratory_representation,"Archived radar image/STFT representation branch, distinct from scalar descriptor training",load_csv_files; process_radar_data,True,BGT60TR13C/raw_to_STFT.py
legacy/BGT60TR13C/raw_to_STFT_NTT.py,exploratory_representation,"Archived radar image/STFT representation branch, distinct from scalar descriptor training",ntt; crt_combine; ntt_spectrogram; load_csv_files; process_radar_data,True,BGT60TR13C/raw_to_STFT_NTT.py
legacy/geometry/processing_geometry_GPT.py,geometry_candidate,"GPT_2 geometric correction, relative_first default, raw backup and selected XYZ columns",normalize_quaternion; conjugate_quaternion; multiply_quaternion; rotate_vectors_by_quaternion; rotation_matrix; radar_polar_to_xyz; xyz_to_radar_polar; validate_columns; to_numeric_safe; choose_radar_input_columns; extract_quaternion; make_sensor_to_world_quaternion; make_reference_quaternion; correct_geometry_dataframe; process_directory; parse_args; main,True,processing_data/processing_geometry_GPT.py
legacy/geometry/processing_geometry_v1.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; geometric_correction; main,True,processing_data/processing_geometry_v1.py
legacy/geometry/processing_geometry_v2.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; geometric_correction; main,True,processing_data/processing_geometry_v2.py
legacy/geometry/processing_geometry_v3.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; inverse_quaternion; rotate_vector_by_quaternion; geometric_correction; main,True,processing_data/processing_geometry_v3.py
legacy/geometry/processing_geometry_v4.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; normalize_quaternion; quaternion_product; quaternion_derivative; integrate_quaternion; geometric_correction; main,True,processing_data/processing_geometry_v4.py
legacy/geometry/processing_geometry_v5.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; geometric_correction; main,True,processing_data/processing_geometry_v5.py
legacy/geometry/processing_geometry_v6.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; get_inverse_quaternion; tilt_rotation_matrix; doppler_correction; geometric_correction; main,True,processing_data/processing_geometry_v6.py
legacy/geometry/processing_geometry_v7.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; geometric_correction; main,True,processing_data/processing_geometry_v7.py
legacy/geometry/processing_geometry_with_distance.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; geometric_correction; main,True,processing_data/processing_geometry_with_distance.py
legacy/geometry/processing_geometry_with_distance_v2.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; tilt_rotation_matrix; geometric_correction; main,True,processing_data/processing_geometry_with_distance_v2.py
legacy/geometry/processing_geometry_xyz.py,geometry_variant,Archived geometry alternative; do not execute sequentially with other versions,quat_to_rotation_matrix; rotate_vector_by_quaternion; geometric_correction; main,True,processing_data/processing_geometry_xyz.py
recovered_prior_uploads/Make_Merged_data_v4.py,recovered_version_unconfirmed,Recovered earlier row-wise radar/IMU merge and nominal Butterworth filtering,apply_butterworth_filter; merge_files; main,True,Make_Merged_data_v4.py
